file_name;gender;genre;novel;threshold_1815;nationality;epistolary
Anonymous_Anonymous_Little-Goody-Two-Shoes_1765;NA;children_juvenile;non_novel;before_1815;NA;non_epistolary
Anonymous_Anonymous_The-Adventures-of-Anthony-Varnish_1786;NA;picaresque_satire;novel;before_1815;NA;non_epistolary
Anonymous_Anonymous_The-Triumph-Prudence-Over-Passion_1781;NA;domestic;novel;before_1815;NA;epistolary
Anonymous_Anonymous_Vertue-Rewarded_1693;NA;romance;novel;before_1815;NA;non_epistolary
Austen_Jane_Emma_1815;female;novel_of_manners;novel;after_1815;English;non_epistolary
Austen_Jane_Love-and-Freindship_1790;female;picaresque_satire;non_novel;before_1815;English;non_epistolary
Austen_Jane_Mansfield-Park_1814;female;novel_of_manners;novel;before_1815;English;non_epistolary
Austen_Jane_Northanger-Abbey_1817;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Austen_Jane_Persuasion_1817;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Austen_Jane_Pride-and-Prejudice_1813;female;sensational_gothic_mystery;novel;before_1815;English;non_epistolary
Austen_Jane_Sense-and-Sensibility_1811;female;sensational_gothic_mystery;novel;before_1815;English;non_epistolary
Baldwin_Louisa_How-he-left-the-Hotel_1894;female;sensational_gothic_mystery;non_novel;after_1815;non_English;non_epistolary
Baldwin_Louisa_The-Real-and-the-Counterfeit_1895;female;sensational_gothic_mystery;non_novel;after_1815;non_English;non_epistolary
Baldwin_Louisa_The-Shadow-on-the-Blind_1894;female;sensational_gothic_mystery;non_novel;after_1815;non_English;non_epistolary
Ballantyne_Robert_The-Coral-Island_1858;male;sensational_gothic_mystery;novel;after_1815;non_English;non_epistolary
Barker_Jane_A-Patch-Work-Screen-for-the-Ladies_1723;female;NA;non_novel;before_1815;English;non_epistolary
Barker_Jane_Exilus_1715;female;NA;novel;before_1815;English;non_epistolary
Barker_Jane_Love-Intrigues_1712;female;NA;novel;before_1815;English;non_epistolary
Barker_Jane_The-Lining-of-the-Patch-Work-Screen_1726;female;NA;non_novel;before_1815;English;non_epistolary
Barrie_J-M_Peter-Pan_1911;male;children_juvenile;novel;after_1815;non_English;non_epistolary
Barrie_J-M_Auld-Licht-Idylls_1888;male;domestic;novel;after_1815;non_English;non_epistolary
Barrie_J-M_A-Window-in-the-Thrums_1889;male;domestic;novel;after_1815;non_English;non_epistolary
Barrie_J-M_Sentimental-Tommy_1896;male;domestic;novel;after_1815;non_English;non_epistolary
Barrie_J-M_Tommy-and-Grizel_1900;male;domestic;novel;after_1815;non_English;non_epistolary
Beckford_William_Vathek_1786;male;sensational_gothic_mystery;novel;before_1815;English;non_epistolary
Beerbohm_Max_Zuleika-Dobson_1911;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Behn_Aphra_Oroonoko_1688;female;sensational_gothic_mystery;novel;before_1815;English;non_epistolary
Bennett_Arnold_Anna-and-the-Five-Towns_1902;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Bennett_Arnold_Clayhanger_1910;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Bennett_Arnold_Hilda-Lessways_1911;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Bennett_Arnold_The-Old-Wives-Tale_1908;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Birmingham_George_The-Red-Hand-of-Ulster_1912;male;sensational_gothic_mystery;novel;after_1815;non_English;non_epistolary
Blackmore_R-D_Clara-Vaughan_1864;male;detective;novel;after_1815;English;non_epistolary
Blackmore_R-D_Lorna_Doone_1869;male;historical;novel;after_1815;English;non_epistolary
Braddon_Mary_Aurora_Floyd_1863;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Braddon_Mary_Lady-Audleys-Secret_1862;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Braddon_Mary_The-Doctors-Wife_1863;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Bronte_Anne_Agnes-Grey_1847;female;NA;novel;after_1815;English;non_epistolary
Bronte_Anne_The-Tenant-of-Wildfell-Hall_1848;female;NA;novel;after_1815;English;epistolary
Bronte_Charlotte_Jane-Eyre_1847;female;bildungsroman;novel;after_1815;English;non_epistolary
Bronte_Charlotte_Shirley_1849;female;social;novel;after_1815;English;non_epistolary
Bronte_Charlotte_Vilette_1853;female;bildungsroman;novel;after_1815;English;non_epistolary
Bronte_Emily_Wuthering-Heights_1847;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Brooke_Frances_Emily-Montague_1769;female;NA;novel;before_1815;English;epistolary
Brooke_Frances_Lady-Julia-Mandeville_1763;female;NA;novel;before_1815;English;non_epistolary
Brooke_Frances_The-Excursion_1777;female;novel_of_manners;novel;before_1815;English;non_epistolary
Brown_George-Douglas_The-House-with-the-Green-Shutters_1901;male;sentimental;novel;after_1815;non_English;non_epistolary
Brunton_Mary_Discipline_1814;female;NA;novel;before_1815;non_English;non_epistolary
Brunton_Mary_Self-Control_1811;female;NA;novel;before_1815;non_English;non_epistolary
Buchan_John_John-Burnet-of-Barns_1897;male;NA;novel;after_1815;non_English;non_epistolary
Bulwer-Lytton_Edward_Paul-Clifford_1830;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Bulwer-Lytton_Edward_Eugene-Aram_1832;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Bulwer-Lytton_Edward_The-Last-Days-of-Pompeii_1834;male;historical;novel;after_1815;English;non_epistolary
Burnett_Frances-Hodgson_The-Secret-Garden_1911;female;children_juvenile;novel;after_1815;English;non_epistolary
Burney_Frances_Evelina_1778;female;sentimental;novel;before_1815;English;epistolary
Burney_Frances_Camilla_1796;female;domestic;novel;before_1815;English;non_epistolary
